[5, 'preprocessed/PRINCETON/train/plant/m974.ply', 'plant', 1772, 1209, 'triangles', 1.0, 0.3374956078391377, 0.19250901697385425, 1.0728294398118223, 3, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[70, 'preprocessed/PRINCETON/train/plant/m1053.ply', 'plant', 5000, 2278, 'triangles', 1.0, 0.8531337888301572, 0.5292556645882409, 1.4170211078676422, 63, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[71, 'preprocessed/PRINCETON/train/plant/m1048.ply', 'plant', 5000, 6136, 'triangles', 1.0, 0.9701216267016216, 0.8839049390843712, 1.64997694284858, 64, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[72, 'preprocessed/PRINCETON/train/plant/m1059.ply', 'plant', 4999, 2655, 'triangles', 1.0, 0.6570200895114778, 0.5660566021108903, 1.3236674336157843, 65, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[73, 'preprocessed/PRINCETON/train/plant/m1032.ply', 'plant', 5000, 2518, 'triangles', 1.0, 0.85424052303961, 0.6359372305756197, 1.4608706419239095, 66, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[74, 'preprocessed/PRINCETON/train/plant/m976.ply', 'plant', 5000, 2917, 'triangles', 1.0, 0.6935634573844296, 0.7438849890999071, 1.426322244945795, 67, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[76, 'preprocessed/PRINCETON/train/plant/m977.ply', 'plant', 4838, 2440, 'triangles', 0.9999999999999998, 0.7286939569447793, 0.6078150164381038, 1.378562286258946, 68, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[77, 'preprocessed/PRINCETON/train/furniture/m880.ply', 'furniture', 5000, 2533, 'triangles', 1.0, 0.4802120736102832, 0.23024386191113388, 1.1329677275142667, 69, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[79, 'preprocessed/PRINCETON/train/furniture/m928.ply', 'furniture', 4999, 2707, 'triangles', 0.9387131231331971, 1.0000000000000002, 0.9939896974854427, 1.6938706698711337, 73, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[80, 'preprocessed/PRINCETON/train/furniture/m941.ply', 'furniture', 4999, 2537, 'triangles', 0.9264049760526428, 0.9999999999999999, 0.5464340618685298, 1.4686103511909612, 74, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[81, 'preprocessed/PRINCETON/train/furniture/m772.ply', 'furniture', 5000, 2534, 'triangles', 0.9999999999999999, 0.941830511351887, 0.41781957225854566, 1.4358335234544675, 75, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[82, 'preprocessed/PRINCETON/train/furniture/m949.ply', 'furniture', 4712, 2368, 'triangles', 0.9105775832476584, 1.0, 0.6236609638065227, 1.489330229629825, 76, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[83, 'preprocessed/PRINCETON/train/furniture/m809.ply', 'furniture', 5000, 2530, 'triangles', 0.9999999999999999, 0.22471010709158273, 0.24149492506060805, 1.0530025788473356, 77, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[84, 'preprocessed/PRINCETON/train/furniture/m946.ply', 'furniture', 4999, 2672, 'triangles', 1.0, 0.49675163973710074, 0.4997451608231308, 1.2233181995489297, 78, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[85, 'preprocessed/PRINCETON/train/furniture/m786.ply', 'furniture', 5000, 2518, 'triangles', 1.0, 0.8011588159868053, 0.7886688024397234, 1.504610889358138, 79, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[86, 'preprocessed/PRINCETON/train/furniture/m769.ply', 'furniture', 5000, 2534, 'triangles', 0.8733980492006421, 1.0, 0.3877871607618852, 1.3831858278623488, 80, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[87, 'preprocessed/PRINCETON/train/furniture/m838.ply', 'furniture', 5000, 2516, 'triangles', 1.0, 0.5838107181690595, 0.47481634859310917, 1.2515132917953233, 81, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[89, 'preprocessed/PRINCETON/train/furniture/m920.ply', 'furniture', 5000, 2632, 'triangles', 1.0, 0.9997373805870223, 0.607127836565482, 1.538856406581096, 82, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[90, 'preprocessed/PRINCETON/train/furniture/m930.ply', 'furniture', 5000, 2512, 'triangles', 1.0, 0.6135784809571043, 0.6006023251240854, 1.3180294781369972, 83, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[91, 'preprocessed/PRINCETON/train/furniture/m788.ply', 'furniture', 5000, 2514, 'triangles', 1.0, 0.34814039035675726, 0.307798201199536, 1.10269735832613, 84, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[92, 'preprocessed/PRINCETON/train/furniture/m916.ply', 'furniture', 5000, 2510, 'triangles', 0.9745032865434105, 1.0, 0.7112812933367327, 1.5670283129971467, 85, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[93, 'preprocessed/PRINCETON/train/furniture/m825.ply', 'furniture', 5000, 2533, 'triangles', 1.0, 0.4612060187954483, 0.5826500664806769, 1.2458700139834349, 86, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[94, 'preprocessed/PRINCETON/train/furniture/m894.ply', 'furniture', 4952, 2610, 'triangles', 1.0, 0.9999890626969133, 0.3023578396853476, 1.446166791463779, 87, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[95, 'preprocessed/PRINCETON/train/furniture/m851.ply', 'furniture', 4999, 2558, 'triangles', 1.0, 0.8442830383135088, 0.28349285895895365, 1.3390974758637293, 88, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[96, 'preprocessed/PRINCETON/train/furniture/m947.ply', 'furniture', 4999, 2684, 'triangles', 0.9999999999999999, 0.7490988112434678, 0.4349000570116915, 1.3229841603719785, 89, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[97, 'preprocessed/PRINCETON/train/furniture/m951.ply', 'furniture', 5000, 2715, 'triangles', 1.0, 0.8393933922056245, 0.46801750995531605, 1.3869468830864575, 90, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[98, 'preprocessed/PRINCETON/train/furniture/m811.ply', 'furniture', 3654, 1965, 'triangles', 1.0, 0.4792482996692383, 0.6738296295793441, 1.2975844105239907, 91, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[99, 'preprocessed/PRINCETON/train/furniture/m773.ply', 'furniture', 5000, 2534, 'triangles', 0.9999999999999999, 0.8454034563479795, 0.4409282046297691, 1.3817107821983374, 92, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[100, 'preprocessed/PRINCETON/train/furniture/m939.ply', 'furniture', 4948, 2570, 'triangles', 1.0, 0.9999268451368869, 0.5327993185111563, 1.5112011148193876, 93, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[102, 'preprocessed/PRINCETON/train/furniture/m943.ply', 'furniture', 5000, 2724, 'triangles', 0.9999999999999999, 0.9404056810429522, 0.6224577979056621, 1.5072546417614459, 94, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[103, 'preprocessed/PRINCETON/train/furniture/m948.ply', 'furniture', 5000, 2578, 'triangles', 1.0, 0.9357643183542727, 0.9536315548873008, 1.6688523008288683, 95, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[104, 'preprocessed/PRINCETON/train/furniture/m817.ply', 'furniture', 5000, 2524, 'triangles', 1.0, 0.43815487652471735, 0.6809794959074928, 1.2867450290048972, 96, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[105, 'preprocessed/PRINCETON/train/furniture/m904.ply', 'furniture', 5000, 2640, 'triangles', 1.0000000000000002, 0.4037819601719384, 0.40370975544012616, 1.151530042160351, 97, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[106, 'preprocessed/PRINCETON/train/furniture/m857.ply', 'furniture', 5000, 2528, 'triangles', 0.9999999999999999, 0.7107255267601756, 0.3487140911452568, 1.2754341581405884, 98, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[107, 'preprocessed/PRINCETON/train/furniture/m863.ply', 'furniture', 2872, 1625, 'triangles', 1.0, 0.5989709586032174, 0.20028422104457214, 1.1827425664317186, 99, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[108, 'preprocessed/PRINCETON/train/furniture/m898.ply', 'furniture', 2288, 1258, 'triangles', 1.0000000000000002, 0.5000098429126636, 0.3746816998225292, 1.1791506346482823, 100, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[78, 'preprocessed/PRINCETON/train/furniture/m855.ply', 'furniture', 4250, 2374, 'triangles', 1.0, 0.9388260916772907, 0.47658832511796273, 1.4520781184401896, 1240, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[57, 'preprocessed/PRINCETON/train/plant/m990.ply', 'plant', 5000, 2832, 'triangles', 1.0, 0.8724841288356944, 0.9981637013723642, 1.6605900547117458, 51, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[111, 'preprocessed/PRINCETON/train/furniture/m843.ply', 'furniture', 5000, 2771, 'triangles', 0.9999999999999999, 0.5545985529749808, 0.44230524862153087, 1.2260560704633767, 102, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[112, 'preprocessed/PRINCETON/train/furniture/m878.ply', 'furniture', 4304, 2213, 'triangles', 0.982643462165598, 0.9169983677860933, 1.0, 1.6752534674666852, 103, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[113, 'preprocessed/PRINCETON/train/furniture/m859.ply', 'furniture', 5000, 2698, 'triangles', 1.0, 0.6970921014946234, 0.40735890657243806, 1.2852543237546734, 104, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[115, 'preprocessed/PRINCETON/train/furniture/m831.ply', 'furniture', 4985, 2501, 'triangles', 1.0, 0.5492233330470918, 0.4906836840887264, 1.2419407181481095, 105, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[116, 'preprocessed/PRINCETON/train/furniture/m942.ply', 'furniture', 5000, 2550, 'triangles', 1.0, 0.9907661205773112, 0.5164394142871889, 1.4994422877567213, 106, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[117, 'preprocessed/PRINCETON/train/furniture/m839.ply', 'furniture', 5000, 2508, 'triangles', 1.0, 0.6464004857722658, 0.5463638546544362, 1.3100942903774044, 107, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[118, 'preprocessed/PRINCETON/train/furniture/m896.ply', 'furniture', 4999, 2669, 'triangles', 0.8104466282860014, 1.0, 0.8414115658482912, 1.5377896996804932, 108, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[119, 'preprocessed/PRINCETON/train/furniture/m890.ply', 'furniture', 4989, 2521, 'triangles', 1.0, 0.6531622719789637, 0.6750484049269695, 1.3719735064975445, 109, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[120, 'preprocessed/PRINCETON/train/furniture/m832.ply', 'furniture', 4999, 2808, 'triangles', 1.0, 0.463221532657723, 0.36951189451713173, 1.1623739624180376, 110, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[121, 'preprocessed/PRINCETON/train/furniture/m791.ply', 'furniture', 5000, 2534, 'triangles', 1.0000000000000002, 0.6836997360464778, 0.6729721114303525, 1.3857621700108034, 111, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[122, 'preprocessed/PRINCETON/train/furniture/m845.ply', 'furniture', 3776, 1984, 'triangles', 1.0000000000000002, 0.7977329765624068, 0.2652297754153526, 1.3064167542028833, 112, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[123, 'preprocessed/PRINCETON/train/furniture/m830.ply', 'furniture', 4800, 2428, 'triangles', 1.0000000000000002, 0.43416819844585564, 0.26868292099186697, 1.122805653964408, 113, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[124, 'preprocessed/PRINCETON/train/furniture/m950.ply', 'furniture', 5000, 2611, 'triangles', 1.0, 0.9912121680518423, 0.8077983494278621, 1.6232805473584693, 114, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[125, 'preprocessed/PRINCETON/train/furniture/m768.ply', 'furniture', 3924, 1992, 'triangles', 1.0, 0.9860806247436111, 0.6345452979683842, 1.5411043876611785, 115, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[126, 'preprocessed/PRINCETON/train/furniture/m829.ply', 'furniture', 5000, 2524, 'triangles', 1.0000000000000002, 0.5447005499400523, 0.28157105061137144, 1.173022142010707, 116, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[127, 'preprocessed/PRINCETON/train/furniture/m841.ply', 'furniture', 4440, 2285, 'triangles', 1.0, 0.7854897937105777, 0.47044279704880665, 1.355843147756624, 117, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[129, 'preprocessed/PRINCETON/train/furniture/m869.ply', 'furniture', 4697, 2596, 'triangles', 0.9999999999999999, 0.4079630123610731, 0.441957752929723, 1.1669449322180592, 118, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
[130, 'preprocessed/PRINCETON/train/furniture/m921.ply', 'furniture', 5000, 2619, 'triangles', 1.0, 0.9999855894639175, 0.4729716011975939, 1.4911986167760867, 119, datetime.datetime(2022, 10, 9, 7, 36, 40, 726300)]
